법령용어명,법령내용
119감염관리실,"{'LsTrmService': {'법령용어일련번호': '5298036', '법령용어명_한글': '119감염관리실', '법령용어명_한자': '119감염관리실', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '119감염관리실 설치·운영에 관한 규정[소방청예규 제115호, 2025.7.10., 전부개정]', '법령용어정의': '「119구조ㆍ구급에 관한 법률 시행령」 제26조제1항에 따라 감염예방 및 관리를 위하여 구조ㆍ구급대원 등(이하 ""구조ㆍ구급대원""이라 한다)이 장비 등 재처리, 물품 및 의약품 등 보관, 의료폐기물 관리 등을 할 수 있도록 설치된 감염관리실(이하 ""감염관리실""이라 한다)을 말한다.'}}"
119구급대,"{'LsTrmService': {'법령용어일련번호': '5283413', '법령용어명_한글': '119구급대', '법령용어명_한자': '119구급대', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '119구조ㆍ구급에 관한 법률[법률 제20543호, 2024.12.3., 일부개정]', '법령용어정의': '구급활동에 필요한 장비를 갖추고 소방공무원으로 편성된 단위조직을 말한다.'}}"
119구조견,"{'LsTrmService': {'법령용어일련번호': ['4895274', '5283420'], '법령용어명_한글': ['119구조견', '119구조견'], '법령용어명_한자': ['119구조견', '119구조견'], '법령용어코드': ['011402', '011402'], '법령용어코드명': ['법령정의사전', '법령정의사전'], '출처': ['119구조견 관리운용 규정[소방청훈령 제228호, 2021.9.10., 전부개정]', '119구조ㆍ구급에 관한 법률[법률 제20543호, 2024.12.3., 일부개정]'], '법령용어정의': ['위급한 상황에서 「소방기본법」 제4조에 따른 소방활동의 보조를 목적으로 소방기관에서 운용하는 개(이하 ""견""이라 한다)를 말하며, 119구조견(이하 ""구조견""이라 한다)의 운용목적에 따라 다음 각 목과 같이 구분한다. \n가. 재난구조견 : 건물 붕괴현장 등에서 매몰된 구조대상자의 냄새 인지를 통해 구조대상자의 위치를 찾는 구조견 \n나. 산악구조견 : 산악지형에서 실종된 구조대상자의 냄새 인지를 통해 구조대상자의 위치를 찾는 구조견 \n다. 수난탐지견 : 수난사고 현장에서 수면 위의 냄새를 통해 수중구조대상자의 위치를 찾는 구조견 \n라. 사체탐지견 : 사망이 확실시되는 구조대상자의 위치를 찾는 구조견 \n마. 화재탐지견 : 발화원인 및 소실된 구조대상자의 위치를 찾는 구조견', '위급상황에서 「소방기본법」 제4조에 따른 소방활동의 보조를 목적으로 소방기관에서 운용하는 개를 말한다.']}}"
119구조견교육대,"{'LsTrmService': {'법령용어일련번호': '4895275', '법령용어명_한글': '119구조견교육대', '법령용어명_한자': '119구조견교육대', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '119구조견 관리운용 규정[소방청훈령 제228호, 2021.9.10., 전부개정]', '법령용어정의': '구조견의 양성, 훈련, 평가, 시ㆍ도 보급 및 관리전환과 구조견 운용자 교육 등 관련 업무를 총괄하는 중앙119구조본부의 단위조직으로 세부 구성 및 운용은 다음 각 목과 같다. \n가. 훈련관 : 훈련 기술을 연구ㆍ개발하고, 구조견 운용자 및 구조견을 양성ㆍ교육하며 출동지원 임무를 수행하는 직원 \n나. 수의사 : 구조견 등을 진료ㆍ관찰하고 질병 예방 및 건강관리 등 수의업무를 담당하는 사람으로서 농림축산식품부장관의 면허를 받은 사람 \n다. 사육관리사 : 구조견 등의 사육관리, 견사시설 안전관리 등 위생관리 업무 전반을 담당하는 직원 \n라. 훈련견 : 구조견 양성을 목적으로 도입되어 훈련 중인 개 \n마. 종모견 : 훈련견 번식을 목적으로 보유 중인 개 \n바. 관리견 : 구조견, 훈련견, 종모견을 제외한 탈락견, 은퇴견, 환견(질병 또는 부상으로 치료가 필요한 개를 말한다) 등 일반분양 및 불용처분을 위해 사육 관리 중인 개'}}"
119구조견대,"{'LsTrmService': {'법령용어일련번호': ['4895276', '5283421'], '법령용어명_한글': ['119구조견대', '119구조견대'], '법령용어명_한자': ['119구조견대', '119구조견대'], '법령용어코드': ['011402', '011402'], '법령용어코드명': ['법령정의사전', '법령정의사전'], '출처': ['119구조견 관리운용 규정[소방청훈령 제228호, 2021.9.10., 전부개정]', '119구조ㆍ구급에 관한 법률[법률 제20543호, 2024.12.3., 일부개정]'], '법령용어정의': ['위급한 상황에서 구조견을 활용하여 「소방기본법」 제4조에 따른 소방활동을 수행하는 소방공무원으로 편성된 중앙119구조본부 및 각 시ㆍ도 소방본부의 단위조직으로 세부 구성 및 운용은 다음 각 목과 같다 \n가. 구조견 운용자 : 소방관서에서 배치된 구조견을 활용하여 현장출동ㆍ운용하고, 구조견을 관리하는 소방대원 \n나. 보조자 : 구조견 운용자의 출동업무를 지원하고, 구조견을 사육관리하는 등 안전점검을 위한 업무를 담당하는 소방대원', '위급상황에서 119구조견을 활용하여 「소방기본법」 제4조에 따른 소방활동을 수행하는 소방공무원으로 편성된 단위조직을 말한다.']}}"
119구조대,"{'LsTrmService': {'법령용어일련번호': '5283411', '법령용어명_한글': '119구조대', '법령용어명_한자': '119구조대', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '119구조ㆍ구급에 관한 법률[법률 제20543호, 2024.12.3., 일부개정]', '법령용어정의': '탐색 및 구조활동에 필요한 장비를 갖추고 소방공무원으로 편성된 단위조직을 말한다.'}}"
119구조대원,"{'LsTrmService': {'법령용어일련번호': '4726602', '법령용어명_한글': '119구조대원', '법령용어명_한자': '119구조대원', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '승강기 안전운행 및 관리에 관한 운영규정[행정안전부고시 제2022-19호, 2022.3.2., 일부개정]', '법령용어정의': '「119구조ㆍ구급에 관한 법률」 제2조제4호에 따른 119구조대에 편성된 소방공무원을 말한다.'}}"
119긴급신고,"{'LsTrmService': {'법령용어일련번호': '5113736', '법령용어명_한글': '119긴급신고', '법령용어명_한자': '119긴급신고', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '119긴급신고의 관리 및 운영에 관한 법률[법률 제19872호, 2024.1.2., 제정]', '법령용어정의': '화재, 재난, 재해, 구조, 구급, 그 밖의 위급한 상황(이하 ""위급한 상황""이라 한다)에서 신고자가 119를 이용한 음성, 문자 신고와 그 밖의 인터넷, 영상, 스마트기기 등을 통하여 신고하는 것을 말한다.'}}"
119종합상황실,"{'LsTrmService': {'법령용어일련번호': '4910191', '법령용어명_한글': '119종합상황실', '법령용어명_한자': '119종합상황실', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '소방청사 부지 및 건축기준에 관한 규정[소방청훈령 제322호, 2023.6.1., 일부개정]', '법령용어정의': '「소방기본법」 제4조에 따라 소방활동을 위한 정보의 수집ㆍ분석과 판단ㆍ전파, 상황관리, 현장지휘 및 조정ㆍ통제 등의 업무를 수행하는 공간을 말한다.'}}"
119종합상황실장,"{'LsTrmService': {'법령용어일련번호': ['4897271', '4975713'], '법령용어명_한글': ['119종합상황실장', '119종합상황실장'], '법령용어명_한자': ['119종합상황실장', '119종합상황실장'], '법령용어코드': ['011402', '011402'], '법령용어코드명': ['법령정의사전', '법령정의사전'], '출처': ['소방청 119종합상황실 운영 규정[소방청예규 제82호, 2023.5.1., 제정]', '119종합상황실 표준 운영규정[소방청예규 제91호, 2023.10.4., 일부개정]'], '법령용어정의': ['「소방기본법 시행규칙」 제3조에 따른 119종합상황실의 실장(이하 ""상황실장""이라 한다)을 말한다.', '119종합상황실에 근무하는 사람 중 최고직위에 있는 사람으로서 119종합상황실장의 보직을 부여받은 사람을 말한다.']}}"
119통합상황관리시스템,"{'LsTrmService': {'법령용어일련번호': '5101352', '법령용어명_한글': '119통합상황관리시스템', '법령용어명_한자': '119통합상황관리시스템', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '전국 119특수대응단 등 통합대응에 관한 규정[소방청훈령 제373호, 2024.6.17., 폐지제정]', '법령용어정의': '119신고의 접수ㆍ지령ㆍ전파 및 119특수대응단 등 출동 등에 활용하는 시스템을 말한다.'}}"
119항공대,"{'LsTrmService': {'법령용어일련번호': '5283418', '법령용어명_한글': '119항공대', '법령용어명_한자': '119항공대', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '119구조ㆍ구급에 관한 법률[법률 제20543호, 2024.12.3., 일부개정]', '법령용어정의': '항공기, 구조ㆍ구급 장비 및 119항공대원으로 구성된 단위조직을 말한다.'}}"
119항공대원,"{'LsTrmService': {'법령용어일련번호': '5283419', '법령용어명_한글': '119항공대원', '법령용어명_한자': '119항공대원', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '119구조ㆍ구급에 관한 법률[법률 제20543호, 2024.12.3., 일부개정]', '법령용어정의': '구조ㆍ구급을 위한 119항공대에 근무하는 조종사, 정비사, 항공교통관제사, 운항관리사, 119구조ㆍ구급대원을 말한다.'}}"
119항공운항관제실장,"{'LsTrmService': {'법령용어일련번호': '5167270', '법령용어명_한글': '119항공운항관제실장', '법령용어명_한자': '119항공운항관제실장', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '119항공대 운영 규정[소방청훈령 제383호, 2024.8.1., 일부개정]', '법령용어정의': '소방항공기의 안전하고 신속한 출동과 체계적인 현장활동의 관리ㆍ조정ㆍ통제를 하는 자를 말한다.'}}"
12세이상시청가,"{'LsTrmService': {'법령용어일련번호': '3777251', '법령용어명_한글': '12세이상시청가', '법령용어명_한자': '12세이상시청가', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '방송프로그램의 등급분류 및 표시 등에 관한 규칙[방송통신심의위원회규칙 제126호, 2016.12.28., 일부개정]', '법령용어정의': '12세미만의 어린이가 시청하기에 부적절한 내용이 포함되어 있어 보호자의 시청지도가 필요한 등급을 말한다.'}}"
12항목,"{'LsTrmService': {'법령용어일련번호': '5180908', '법령용어명_한글': '12항목', '법령용어명_한자': '12항목', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '병역의무를 마친 사람 등에 대한 병적관리 규정[병무청훈령 제2093호, 2024.11.25., 일부개정]', '법령용어정의': '성명ㆍ주민등록번호ㆍ군번ㆍ군별ㆍ역종ㆍ계급ㆍ병과/주특기ㆍ입영일자ㆍ전역일자ㆍ전역구분ㆍ전역부대ㆍ전역근거를 말한다. <개정 2023.8.9.>'}}"
15세이상시청가,"{'LsTrmService': {'법령용어일련번호': '3777252', '법령용어명_한글': '15세이상시청가', '법령용어명_한자': '15세이상시청가', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '방송프로그램의 등급분류 및 표시 등에 관한 규칙[방송통신심의위원회규칙 제126호, 2016.12.28., 일부개정]', '법령용어정의': '15세미만의 청소년이 시청하기에 부적절한 내용이 포함되어 있어 보호자의 시청지도가 필요한 등급을 말한다.'}}"
15일,"{'LsTrmService': {'법령용어일련번호': '4733965', '법령용어명_한글': '15일', '법령용어명_한자': '15일', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '어음법[법률 제10198호, 2010.3.31., 일부개정]', '법령용어정의': '1주 또는 2주가 아닌 만 8일 또는 만 15일을 말한다.'}}"
182경찰민원콜센터,"{'LsTrmService': {'법령용어일련번호': '4310213', '법령용어명_한글': '182경찰민원콜센터', '법령용어명_한자': '182경찰민원콜센터', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '182경찰민원콜센터 운영규칙[경찰청훈령 제983호, 2020.9.25., 일부개정]', '법령용어정의': '경찰의 업무와 관련하여 전화를 통한 문의, 건의 등(이하 ""민원전화""라 한다)에 대하여 상담·안내 또는 중계(이하 ""상담등”이라 한다)하는 부서를 말한다.'}}"
19세이상시청가,"{'LsTrmService': {'법령용어일련번호': '3777253', '법령용어명_한글': '19세이상시청가', '법령용어명_한자': '19세이상시청가', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '방송프로그램의 등급분류 및 표시 등에 관한 규칙[방송통신심의위원회규칙 제126호, 2016.12.28., 일부개정]', '법령용어정의': '19세미만의 청소년이 시청하기에 부적절한 내용이 포함되어 있어 청소년이 시청할 수 없는 등급을 말한다.'}}"
1개걸이,"{'LsTrmService': {'법령용어일련번호': '5003516', '법령용어명_한글': '1개걸이', '법령용어명_한자': '1개걸이', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '보호구 안전인증 고시[고용노동부고시 제2023-64호, 2023.12.18., 일부개정]', '법령용어정의': '죔줄의 한쪽 끝을 D링에 고정시키고 훅 또는 카라비너를 구조물 또는 구명줄에 고정시키는 걸이 방법을 말한다.'}}"
1건,"{'LsTrmService': {'법령용어일련번호': '5228229', '법령용어명_한글': '1건', '법령용어명_한자': '1건', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '공유재산 및 물품 관리법 시행령[대통령령 제35246호, 2025.2.7., 타법개정]', '법령용어정의': '다음 각 호의 어느 하나에 해당하는 경우를 말한다. &lt;개정 2022.4.20&gt; \n1. 같은 취득ㆍ처분방법으로 동시에 회계절차를 이행하는 경우 \n2. 토지와 건물 및 그 부대시설을 하나의 사업계획에 따라 다년도에 걸쳐 취득ㆍ처분하는 경우 \n3. 매수 상대방이나 매각 상대방이 같은 사람인 경우 \n4. 건물과 그 부지인 토지를 함께 취득ㆍ처분하는 경우 \n5. 해당 재산에 인접(隣接)하거나 부대시설로 되어 있어 해당 재산과 불가분의 관계에 있는 재산을 함께 취득ㆍ처분하는 경우 \n6. 분필(分筆)되어 있거나 분산되어 있는 재산이라도 같은 목적으로 관리ㆍ운영되고 있는 재산을 함께 취득ㆍ처분하는 경우 \n7. 그 밖에 사회통념상 또는 해당 재산의 구체적 여건에 따라 1건으로 하여 취득 또는 처분 승인을 받을 필요가 있다고 인정되는 경우'}}"
1근무,"{'LsTrmService': {'법령용어일련번호': '5224181', '법령용어명_한글': '1근무', '법령용어명_한자': '1근무', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '철도특별사법경찰관 근무시간 등에 관한 규정[국토교통부훈령 제1849호, 2025.2.12., 일부개정]', '법령용어정의': '승무교번표에 의한 근무의 경우에는 소속기관에서 승무가 개시되어 소속기관에 귀착할 때까지를 말하고, 2조1교대 또는 3조1교대의 경우에는 철야근무일과 비번일을 포함한 48시간을 말하며, 3조2교대 중 6일주기 및 9일주기의 경우에는 1일 24시간 중 주간 10시간과 야간 14시간을 각각 말한다. <개정 2009. 6. 22., 2010. 1. 18., 2015. 3. 17.> \n5. <삭 제>'}}"
1년,"{'LsTrmService': {'법령용어일련번호': '5040246', '법령용어명_한글': '1년', '법령용어명_한자': '1년', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '형의 집행 및 수용자의 처우에 관한 법률 시행규칙[법무부령 제1072호, 2024.2.8., 일부개정]', '법령용어정의': '매년 1월 1일부터 12월 31일까지를 말한다.'}}"
1년내,"{'LsTrmService': {'법령용어일련번호': ['47790', '4848413'], '법령용어명_한글': ['1년내', '1년내'], '법령용어명_한자': ['1년내', '1년내'], '법령용어코드': ['011402', '011402'], '법령용어코드명': ['법령정의사전', '법령정의사전'], '출처': ['상장법인등의재무제표에관한규칙[재무부령 제1479호, 1981.4.30., 전부개정]', '산업기술단지 사업시행자의 회계처리에 관한 규정[중소벤처기업부고시 제2021-39호, 2021.6.24., 타법개정]'], '법령용어정의': ['대차대조표일로부터 1년이내를 말한다.', '보고기간종료일로부터 1년 이내를 말한다.']}}"
1대변인,"{'LsTrmService': {'법령용어일련번호': '630152', '법령용어명_한글': '1대변인', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': 'Spokesperson Ⅰ'}}"
1류관,"{'LsTrmService': {'법령용어일련번호': ['5040525', '4724493'], '법령용어명_한글': ['1류관', '1류관'], '법령용어명_한자': ['1류관', '1류관'], '법령용어코드': ['011402', '011402'], '법령용어코드명': ['법령정의사전', '법령정의사전'], '출처': ['선박기관기준[해양수산부고시 제2024-22호, 2024.2.19., 일부개정]', '어선기관기준[해양수산부고시 제2021-54호, 2021.3.8., 일부개정]'], '법령용어정의': ['사용하는 유체의 종류에 따라 최고사용압력 또는 최고사용온도가 다음 표1의 범위내에 있는 관(버터워스관을 제외한다)을 말한다. \n<img id=""138018365""> \n</img>', '사용하는 유체의 종류에 따라 최고사용압력 또는 최고사용온도가 다음 표 1의 범위 내에 있는 관(버터워스관을 제외한다)을 말한다. \n \n<img id=""97964891""> \n \n표 1  1류관 \n┌──────────────────┬──────────┬───────────────┐ \n│유체의 종류                         │최고사용압력        │최고사용온도                  │ \n├──────────────────┼──────────┼───────────────┤ \n│ 연료유                             │7바를 초과하는 범위 │섭씨 60도를 초과하는 범위     │ \n├──────────────────┤                    ├───────────────┤ \n│ 증기                               │                    │섭씨 170도를 초과하는 범위    │ \n├──────────────────┼──────────┼───────────────┤ \n│ 물 및 공기                         │16바를 초과하는 범위│섭씨 200도를 초과하는 범위    │ \n├──────────────────┤                    │                              │ \n│ 윤활유(유압 및 열매체유를 포함한다)│                    │                              │ \n├──────────────────┴──────────┴───────────────┤ \n│(비고) 암모니아, LPG, LNG 등의 액체가스는 최고사용압력 및 온도에 관계없이 1류관으로 한다. │ \n└─────────────────────────────────────────────┘ \n</img>']}}"
1세대,"{'LsTrmService': {'법령용어일련번호': '5293243', '법령용어명_한글': '1세대', '법령용어명_한자': '1세대', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '소득세법[법률 제20615호, 2024.12.31., 일부개정]', '법령용어정의': '거주자 및 그 배우자(법률상 이혼을 하였으나 생계를 같이 하는 등 사실상 이혼한 것으로 보기 어려운 관계에 있는 사람을 포함한다. 이하 이 호에서 같다)가 그들과 같은 주소 또는 거소에서 생계를 같이 하는 자[거주자 및 그 배우자의 직계존비속(그 배우자를 포함한다) 및 형제자매를 말하며, 취학, 질병의 요양, 근무상 또는 사업상의 형편으로 본래의 주소 또는 거소에서 일시 퇴거한 사람을 포함한다]와 함께 구성하는 가족단위를 말한다. 다만, 대통령령으로 정하는 경우에는 배우자가 없어도 1세대로 본다.'}}"
1인가구,"{'LsTrmService': {'법령용어일련번호': '5159219', '법령용어명_한글': '1인가구', '법령용어명_한자': '1인가구', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '건강가정기본법[법률 제20417호, 2024.3.26., 타법개정]', '법령용어정의': '1명이 단독으로 생계를 유지하고 있는 생활단위를 말한다.'}}"
1인분소비전력량,"{'LsTrmService': {'법령용어일련번호': '5165875', '법령용어명_한글': '1인분소비전력량', '법령용어명_한자': '1인분소비전력량', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '효율관리기자재 운용규정[산업통상자원부고시 제2024-169호, 2024.10.29., 일부개정]', '법령용어정의': '별표 1의 1회취사보온소비전력량에 150g을 곱하고 취사시 쌀의 질량으로 나눈 값(Wh/인분)을 말한다.}'}}"
1주,"{'LsTrmService': {'법령용어일련번호': ['4569448', '5229234', '4936931'], '법령용어명_한글': ['1주', '1주', '1주'], '법령용어명_한자': ['1주', '1주', '1주'], '법령용어코드': ['011402', '011402', '011402'], '법령용어코드명': ['법령정의사전', '법령정의사전', '법령정의사전'], '출처': ['국립중앙과학관 공무직 근로자 운영에 관한 규정[국립중앙과학관규칙 제555호, 2021.11.2., 일부개정]', '과학기술정보통신부 청년인턴 운영규정[과학기술정보통신부훈령 제288호, 2025.2.25., 제정]', '근로기준법[법률 제20520호, 2024.10.22., 일부개정]'], '법령용어정의': ['일요일에서 토요일까지의 기간을 말한다', '휴일을 포함한 7일을 말한다.', '휴일을 포함한 7일을 말한다.']}}"
1차관,"{'LsTrmService': {'법령용어일련번호': '629944', '법령용어명_한글': '1차관', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': 'Vice Minister for Land, Water and Construction'}}"
1차기관,"{'LsTrmService': {'법령용어일련번호': '3798328', '법령용어명_한글': '1차기관', '법령용어명_한자': '1차기관', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '국가보훈처 인사관리규정[국가보훈부훈령 제1114호, 2017.2.10., 일부개정]', '법령용어정의': '각 지방보훈청 및 국립대전현충원을 말한다.'}}"
1차에너지,"{'LsTrmService': {'법령용어일련번호': ['4697690', '5213770'], '법령용어명_한글': ['1차에너지', '1차에너지'], '법령용어명_한자': ['1차에너지', '1차에너지'], '법령용어코드': ['011402', '011402'], '법령용어코드명': ['법령정의사전', '법령정의사전'], '출처': ['에너지절약형 친환경주택의 건설기준[국토교통부고시 제2025-313호, 2025.6.19., 일부개정]', '건축물의 에너지절약설계기준[국토교통부고시 제2024-1026호, 2024.12.31., 일부개정]'], '법령용어정의': ['연료의 채취, 가공, 운송, 변환, 공급 등의 과정에서의 손실분을 포함한 에너지를 말한다.', '연료의 채취, 가공, 운송, 변환, 공급 등의 과정에서의 손실분을 포함한 에너지를 말하며, 에너지원별 1차에너지 환산계수는 ""제로에너지건축물 인증 제도 운영규정""에 따른다.  <전문개정>']}}"
1차예비력,"{'LsTrmService': {'법령용어일련번호': '4894222', '법령용어명_한글': '1차예비력', '법령용어명_한자': '1차예비력', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '전력계통 신뢰도 및 전기품질 유지기준[산업통상자원부고시 제2023-65호, 2023.4.25., 일부개정]', '법령용어정의': '발전기의 조속기(Governor Free) 운전 및 전기저장장치의 주파수추종 운전을 통해 주파수 변동 10초 이내에 동작하여 5분 이상 출력을 유지할 수 있는 예비력을 말한다.'}}"
1차오류,"{'LsTrmService': {'법령용어일련번호': ['3502303', '4304856'], '법령용어명_한글': ['1차오류', '1차오류'], '법령용어명_한자': ['1차오류', '1차오류'], '법령용어코드': ['011402', '011402'], '법령용어코드명': ['법령정의사전', '법령정의사전'], '출처': ['정보화센터 사무처리규정[국세청훈령 제1825호, 2010.3.22., 제정]', '국세청 정보화센터 사무처리규정[국세청훈령 제2161호, 2016.7.8., 일부개정]'], '법령용어정의': ['자료입력 과정에서 발생된 경미한 오류로 입력 중에 즉시 정정이 가능한 오류를 말한다.', '자료입력 과정에서 발생된 경미한 오류로 입력 중에 즉시 정정이 가능한 오류를 말한다.']}}"
1차장,"{'LsTrmService': {'법령용어일련번호': '629945', '법령용어명_한글': '1차장', '법령용어명_한자': None, '법령용어코드': '011403', '법령용어코드명': '법령한영사전', '법령용어정의': 'First Deputy Director'}}"
1차측,"{'LsTrmService': {'법령용어일련번호': '4785877', '법령용어명_한글': '1차측', '법령용어명_한자': '1차측', '법령용어코드': '011402', '법령용어코드명': '법령정의사전', '출처': '유수제어밸브의 형식승인 및 제품검사의 기술기준[소방청고시 제2022-27호, 2022.12.1., 타법개정]', '법령용어정의': '본체의 유입구에서 시트까지의 부분을 말한다.'}}"
